ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
8.55142466034557E+017,2017-04-20 19:33:46,"We're going to use American steel, we're going to use American labor, we are going to come first in all deals. ",realDonaldTrump,58.62,10.3,14.2095238095,9.3,7.6,12.5,6.18
8.5467678052708E+017,2017-04-19 12:43:18,Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.,realDonaldTrump,90.97,2,18.2330434783,2.1,4.63,1.875,9.42
8.54547423464759E+017,2017-04-19 04:09:17,"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!",realDonaldTrump,59.8,7.8,25.7304347826,7.9,10.54,5.75,11.76
8.54284952539726E+017,2017-04-18 10:46:19,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime and 2nd A.,realDonaldTrump,87.72,3.3,15.9703703704,3.3,5.88,4.1666666667,8.18
8.54283110191686E+017,2017-04-18 10:38:59,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",realDonaldTrump,75.71,5.8,21.4,6.7,8.74,5.75,9.94
8.54268119774368E+017,2017-04-18 09:39:25,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,realDonaldTrump,79.97,4.2,19.72,4.2,7.1,3.5,9.73
8.54157191053554E+017,2017-04-18 02:18:38,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes and safety!",realDonaldTrump,67.76,6.8,25.1333333333,7.6,10.14,6,11.47
8.54102644394254E+017,2017-04-17 22:41:53,See you tomorrow Wisconsin! 'Trump spurs small-business optimism in Milwaukee area',realDonaldTrump,40.51,9,26.0181818182,12.6,17.38,2.25,12.52
8.53964023846588E+017,2017-04-17 13:31:03,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",realDonaldTrump,25.8,14.6,34,16.8,17.52,11,14.1
8.53945633903923E+017,2017-04-17 12:17:59,The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,realDonaldTrump,79.56,4.3,19.3261538462,3.4,5.88,3.3333333333,9.53
8.5394445353875E+017,2017-04-17 12:13:17,"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",realDonaldTrump,72.16,7.2,23.4,10.1,11.42,7,10.35
8.53771244579283E+017,2017-04-17 00:45:01,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",realDonaldTrump,68.26,6.6,23.9913043478,8.5,11.29,5.25,11.07
8.53604334944354E+017,2017-04-16 13:41:47,"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",realDonaldTrump,62.85,6.6,24.2235294118,6.9,10.34,3.75,11.49
8.53597199619543E+017,2017-04-16 13:13:26,Someone should look into who paid for the small organized rallies yesterday. The election is over!,realDonaldTrump,63.36,6.4,22.7,7,10.75,3.5,10.94
8.53595628655587E+017,2017-04-16 13:07:11,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?,realDonaldTrump,67.25,7,18.2,6.5,8.51,6.75,8.68
8.53583417916756E+017,2017-04-16 12:18:40,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,realDonaldTrump,84.68,4.4,18.4666666667,5.6,7.7,5.5,8.84
8.52602568433951E+017,2017-04-13 19:21:07,It was a great honor to welcome Atlanta's heroic first responders to the White House this afternoon!,realDonaldTrump,62.68,8.7,22.9176470588,10.3,11.08,7.5,10.05
8.52510810287075E+017,2017-04-13 13:16:30,Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses and there will be lasting peace!,realDonaldTrump,83.66,4.8,16.4307692308,6.3,7.93,5.5,7.93
8.52508752142115E+017,2017-04-13 13:08:20,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",realDonaldTrump,79.56,4.3,16.2492307692,3.7,6.28,3.3333333333,8.32
8.52318522139169E+017,2017-04-13 00:32:25,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",realDonaldTrump,35.44,10.9,27.1523809524,10.3,13.84,5.25,12.43
8.52297935219982E+017,2017-04-12 23:10:37,"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",realDonaldTrump,60.82,7.4,19.5333333333,5.6,8.04,5,9.42
8.52277347587953E+017,2017-04-12 21:48:48,Great meeting with NATO Sec. Gen. We agreed on the importance of getting countries to pay their fair share and focus on the threat of terrorism.,realDonaldTrump,83.66,4.8,19.5076923077,6.6,8.4,5.5,9.14
8.52138509355934E+017,2017-04-12 12:37:07,"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily and predicted victory!",realDonaldTrump,56.59,11.1,26.852173913,14.7,13.29,12.5,10.96
8.52134796436398E+017,2017-04-12 12:22:22,Had a very good call last night with the President of China concerning the menace of North Korea.,realDonaldTrump,70.13,7.9,22.5333333333,8.5,8.18,8,9.79
8.51781714028495E+017,2017-04-11 12:59:20,"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare and Tax Cuts (Reform).",realDonaldTrump,83.66,4.8,19.5076923077,5.7,7.24,5.5,9.14
